Option I(AC)(Best Doctors Insurance Limited);Advanced Care; I(AC);Advanced Care I(AC);;Medical Elite;6
Option II(AC)(Best Doctors Insurance Limited);Advanced Care; II(AC);Advanced Care II(AC);ok;Premier Plus;5
Option I(GC)(Best Doctors Insurance Limited);Global Care; I(GC);Global Care I(GC);ok;Global Care;5
Option I(PRC)(Best Doctors Insurance Limited);Prime Care; I(PRC);Prime Care I(PRC);ok;Ultimate Care;6
Option III(PP)(Best Doctors Insurance Limited);Premier Plus; III(PP);Premier Plus III(PP);ok;Advanced Care Plus;2
Option II(MC)(Best Doctors Insurance Limited);Medical Care; II(MC);Medical Care II(MC);ok;Medical Care;6
Option II(GC)(Best Doctors Insurance Limited);Global Care; II(GC);Global Care II(GC);;Prime Care;3
Option I(AC2)(Best Doctors Insurance Limited);Advanced Care Plus; I(AC2);Advanced Care Plus I(AC2);;Advanced Care;6
Option III(GC)(Best Doctors Insurance Limited);Global Care; III(GC);Global Care III(GC);;;
Option II(PP)(Best Doctors Insurance Limited);Premier Plus; II(PP);Premier Plus II(PP);;;
